k,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Significance,Number of google review in lakhs,Best Time to visit,Image URL,Weighted Rating,Weighted Rating_normalize,Number of google review in lakhs_normalize,recommendations
Southern,Goa,Goa,Arambol Beach,Beach,Unknown,2,4.6,Scenic,10000,Evening,https://images.unsplash.com/photo-1523387282479-ae7166314e62?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxBcmFtYm9sJTIwQmVhY2h8ZW58MHx8fHwxNzI5MjQ1Nzk0fDA&ixlib=rb-4.0.3&q=80&w=400,4.599988617,0.94285109,0.01217862,0.477514855
Southern,Goa,Goa,Colva Beach,Beach,Unknown,2,4.3,Scenic,10000,Evening,https://images.unsplash.com/photo-1584111729872-f7013659ae8b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDb2x2YSUyMEJlYWNofGVufDB8fHx8MTcyOTI0NTgwMnww&ixlib=rb-4.0.3&q=80&w=400,4.300018614,0.942850411,0.01082544,0.476837925
Southern,Kerala,Bekal,Bekal Fort,Fort,1650,1.5,4.5,Historical,22000,All,https://images.unsplash.com/photo-1591620244616-d4e18817c26e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxCZWthbCUyMEZvcnR8ZW58MHx8fHwxNzI5MjUwMzM1fDA&ixlib=rb-4.0.3&q=80&w=400,4.499999371,0.914284403,0.039242219,0.476763311
Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,Unknown,2,4.5,Nature,1000,Morning,https://images.unsplash.com/photo-1721224688543-47e9b37249b8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTV8MHwxfHNlYXJjaHwxfHxTYW5nbGElMjBWYWxsZXl8ZW58MHx8fHwxNzI5MjUxMzA3fDA&ixlib=rb-4.0.3&q=80&w=400,4.499986168,0.885713697,0.066305819,0.476009758
Southern,Goa,Goa,Miramar Beach,Beach,Unknown,1.5,4.2,Scenic,30000,Evening,https://images.unsplash.com/photo-1647797013933-c53ac86cb997?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxNaXJhbWFyJTIwQmVhY2h8ZW58MHx8fHwxNzI5MjQ1ODA2fDA&ixlib=rb-4.0.3&q=80&w=400,4.200009538,0.942849054,0.00879567,0.475822362
Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,400,2,4.4,Historical,10000,All,https://images.unsplash.com/photo-1656125781286-e839bbedbbf4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTV8MHwxfHNlYXJjaHwxfHxLYW5ncmElMjBGb3J0fGVufDB8fHx8MTcyOTI1MTMwN3ww&ixlib=rb-4.0.3&q=80&w=400,4.400008615,0.885713695,0.064952639,0.475333167
Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,12th century,1.5,4.5,Historical,1500,Morning,https://images.unsplash.com/photo-1669221604464-d60c06921100?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMjB8MHwxfHNlYXJjaHwxfHxHYW5kaWtvdGElMjBGb3J0fGVufDB8fHx8MTcyOTI1MjAwMXww&ixlib=rb-4.0.3&q=80&w=400,4.499990775,0.857142416,0.093369418,0.475255917
Southern,Goa,Goa,Aguada Beach,Beach,Unknown,2,4.5,Scenic,1000,Evening,https://images.unsplash.com/photo-1584111728495-7d9599602355?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxBZ3VhZGElMjBCZWFjaHxlbnwwfHx8fDE3MjkyNDU4MTB8MA&ixlib=rb-4.0.3&q=80&w=400,4.499986168,0.942847801,0.00744249,0.475145145
Southern,Kerala,Kovalam,Kovalam Beach,Beach,Unknown,2,4.4,Recreational,68000,All,https://images.unsplash.com/photo-1573269354259-8c108692afa1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxLb3ZhbGFtJTIwQmVhY2h8ZW58MHx8fHwxNzI5MjUwMzM1fDA&ixlib=rb-4.0.3&q=80&w=400,4.400001267,0.914284283,0.035182679,0.474733481
Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1950,1.5,4.6,Agricultural,1500,Morning,https://images.unsplash.com/photo-1491497895121-1334fc14d8c9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTV8MHwxfHNlYXJjaHwxfHxUZWElMjBHYXJkZW5zfGVufDB8fHx8MTcyOTI1MTMwOHww&ixlib=rb-4.0.3&q=80&w=400,4.599924153,0.885713694,0.063599459,0.474656576
Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,Historical,35000,Morning,https://images.unsplash.com/photo-1624903715289-fc6554439cac?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxTYWJhcm1hdGklMjBBc2hyYW18ZW58MHx8fHwxNzI5MjQ1ODE5fDA&ixlib=rb-4.0.3&q=80&w=400,4.599996747,0.942844982,0.00541272,0.474128851
Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2,4.7,Religious,59000,Evening,https://images.unsplash.com/photo-1601208443688-c71856b84610?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxEd2Fya2FkaGlzaCUyMFRlbXBsZXxlbnwwfHx8fDE3MjkyNDU4MjJ8MA&ixlib=rb-4.0.3&q=80&w=400,4.699996376,0.942844982,0.00541272,0.474128851
Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2,3.9,Wildlife,3000,Afternoon,https://images.unsplash.com/photo-1486365227551-f3f90034a57c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxEci4lMjBTYWxpbSUyMEFsaSUyMEJpcmQlMjBTYW50dWFyeXxlbnwwfHx8fDE3MjkyNDU4MTV8MA&ixlib=rb-4.0.3&q=80&w=400,3.90019532,0.942844982,0.00541272,0.474128851
Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,Unknown,1,4.4,Wildlife,70000,All,https://images.unsplash.com/photo-1486365227551-f3f90034a57c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMjB8MHwxfHNlYXJjaHwxfHxVcHBhbGFwYWR1JTIwQmlyZCUyMFNhbmN0dWFyeXxlbnwwfHx8fDE3MjkyNTIwMDB8MA&ixlib=rb-4.0.3&q=80&w=400,4.400001231,0.857142427,0.090663058,0.473902742
Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3,4.5,Wildlife,8000,Morning,https://images.unsplash.com/photo-1624951714070-74a95c1f6959?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxHaXIlMjBOYXRpb25hbCUyMFBhcmt8ZW58MHx8fHwxNzI5MjQ1ODMwfDA&ixlib=rb-4.0.3&q=80&w=400,4.499998269,0.942843625,0.00473613,0.473789877
Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,Nature,12000,Evening,https://images.unsplash.com/photo-1493382051629-7eb03ec93ea2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxXaGl0ZSUyMERlc2VydHxlbnwwfHx8fDE3MjkyNDU4MzR8MA&ixlib=rb-4.0.3&q=80&w=400,4.599990514,0.942842301,0.004194858,0.473518579
Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,Unknown,1,4.7,Religious,4100,All,https://images.unsplash.com/photo-1601208443688-c71856b84610?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMjB8MHwxfHNlYXJjaHwxfHxBbWFyYXZhdGhpJTIwVGVtcGxlfGVufDB8fHx8MTcyOTI1MTk5OXww&ixlib=rb-4.0.3&q=80&w=400,4.699947855,0.857142432,0.089309878,0.473226155
Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2,4.4,Historical,17000,Afternoon,https://images.unsplash.com/photo-1677648626156-acad341ce207?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxMYXhtaSUyMFZpbGFzJTIwUGFsYWNlfGVufDB8fHx8MTcyOTI0NTgzOHww&ixlib=rb-4.0.3&q=80&w=400,4.400005068,0.942839747,0.00338295,0.473111349
Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2,4.8,Religious,39000,Morning,https://images.unsplash.com/photo-1722109638073-48a26e6a16af?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxTb21uYXRoJTIwVGVtcGxlfGVufDB8fHx8MTcyOTI0NTg0Mnww&ixlib=rb-4.0.3&q=80&w=400,4.799991953,0.942838112,0.002976996,0.472907554
Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,Unknown,3,4.9,Cultural,10000,Evening,https://images.unsplash.com/photo-1670688599212-737088d7bbd5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxSYW5uJTIwVXRzYXZ8ZW58MHx8fHwxNzI5MjQ1ODQ2fDA&ixlib=rb-4.0.3&q=80&w=400,4.89995862,0.94283684,0.00270636,0.4727716
Southern,Kerala,Kannur,St. Angelo Fort,Fort,1505,1,4.4,Historical,11000,All,https://images.unsplash.com/photo-1710838106550-ac9cf85a2bc7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxTdC4lMjBBbmdlbG8lMjBGb3J0fGVufDB8fHx8MTcyOTI1MDMzNnww&ixlib=rb-4.0.3&q=80&w=400,4.400007831,0.914284074,0.029769959,0.472027016
Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3,4.6,Historical,67000,All,https://images.unsplash.com/photo-1621859294461-2e6e4bf0e689?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxTdGF0dWUlMjBvZiUyMFVuaXR5fGVufDB8fHx8MTcyOTI0NTg1MHww&ixlib=rb-4.0.3&q=80&w=400,4.599998301,0.942816493,0.00067659,0.471746542
Western,Gujarat,Ahmedabad,Manek Chowk,Market,Unknown,2,4.4,Food,49000,Night,https://images.unsplash.com/photo-1714498104118-09afc35579f4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxNYW5layUyMENob3drfGVufDB8fHx8MTcyOTI0NTg2MXww&ixlib=rb-4.0.3&q=80&w=400,4.400001758,0.942796161,0,0.47139808
Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,4.5,Historical,5000,All,https://images.unsplash.com/photo-1664600505813-d735ef97e97e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxEYW5kaSUyMEt1dGlyfGVufDB8fHx8MTcyOTI0NTg1NHww&ixlib=rb-4.0.3&q=80&w=400,4.499997231,0.942796161,0,0.47139808
Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1,4.6,Recreational,10000,Evening,https://images.unsplash.com/photo-1708586608610-d824c2f612bb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxTYWJhcm1hdGklMjBSaXZlcmZyb250fGVufDB8fHx8MTcyOTI0NTg1N3ww&ixlib=rb-4.0.3&q=80&w=400,4.599988617,0.942796161,0,0.47139808
Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,Unknown,1,4.5,Nature,3000,Morning,https://images.unsplash.com/photo-1526148653006-c95760000cc0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxTZWV0aGFyZ3VuZHUlMjBWaWV3cG9pbnR8ZW58MHx8fHwxNzI5MjUwMzM2fDA&ixlib=rb-4.0.3&q=80&w=400,4.499995386,0.914283939,0.027063599,0.470673769
Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,2009,1.5,4.4,Cultural,10000,All,https://images.unsplash.com/photo-1514905552197-0610a4d8fd73?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxLZXJhbGElMjBGb2xrbG9yZSUyME11c2V1bXxlbnwwfHx8fDE3MjkyNTAzMzd8MA&ixlib=rb-4.0.3&q=80&w=400,4.400008615,0.914283939,0.027063599,0.470673769
Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,Unknown,1.5,4.4,Natural Wonder,11000,Afternoon,https://images.unsplash.com/photo-1627827776375-67633d8d2f45?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMjB8MHwxfHNlYXJjaHwxfHxCZWx1bSUyMENhdmVzfGVufDB8fHx8MTcyOTI1MTk5OXww&ixlib=rb-4.0.3&q=80&w=400,4.400007831,0.857142455,0.083897158,0.470519807
Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,2016,5.5,4.6,Entertainment,41000,All,https://images.unsplash.com/photo-1722573783471-a240b1bc1a7f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxXb25kZXJsYSUyMEFtdXNlbWVudCUyMFBhcmt8ZW58MHx8fHwxNzI5MjUwMzM3fDA&ixlib=rb-4.0.3&q=80&w=400,4.599997223,0.914283861,0.025710419,0.46999714
Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,Unknown,3,4.7,Historical,5000,All,https://images.unsplash.com/photo-1667115788157-f122b28b7ad5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxIYW1waSUyMEFyY2hhZW9sb2dpY2FsJTIwUnVpbnN8ZW58MHx8fHwxNzI5MjUwMzM4fDA&ixlib=rb-4.0.3&q=80&w=400,4.699957239,0.914283776,0.02435724,0.469320508
Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,2,4.6,Historical,250000,All,https://images.unsplash.com/photo-1661492814674-f7917394884f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxNeXNvcmUlMjBQYWxhY2V8ZW58MHx8fHwxNzI5MjUwMzM4fDA&ixlib=rb-4.0.3&q=80&w=400,4.599999545,0.914283776,0.02435724,0.469320508
Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,1400,1.5,4.6,Nature,1000,Morning,https://images.unsplash.com/photo-1701004602456-475f175be59c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTV8MHwxfHNlYXJjaHwxfHxQcmFzaGFyJTIwTGFrZXxlbnwwfHx8fDE3MjkyNTEzMDl8MA&ixlib=rb-4.0.3&q=80&w=400,4.599886268,0.885713677,0.052774019,0.469243848
Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2005,2,4.8,Adventure,1000,All,https://www.hpparagliding.com/wp-content/uploads/2017/01/package-3.jpg,4.799686467,0.885713677,0.052774019,0.469243848
Southern,Karnataka,Gokarna,Om Beach,Beach,Unknown,2,4.5,Nature,9000,All,https://images.unsplash.com/photo-1620987327682-1b8581fe5567?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxPbSUyMEJlYWNofGVufDB8fHx8MTcyOTI1MDMzOXww&ixlib=rb-4.0.3&q=80&w=400,4.499998462,0.914283681,0.02300406,0.46864387
Southern,Karnataka,Coorg,Abbey Falls,Waterfall,Unknown,1,4.1,Nature,3000,Morning,https://images.unsplash.com/photo-1699879813675-0f7b49181169?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxBYmJleSUyMEZhbGxzfGVufDB8fHx8MTcyOTI1MDMzOXww&ixlib=rb-4.0.3&q=80&w=400,4.100128675,0.914283681,0.02300406,0.46864387
Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,Unknown,5,4.8,Adventure,1000,Morning,https://images.unsplash.com/photo-1663659762869-66e26cb593eb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTV8MHwxfHNlYXJjaHwxfHxUcml1bmQlMjBUcmVrfGVufDB8fHx8MTcyOTI1MTMxMHww&ixlib=rb-4.0.3&q=80&w=400,4.799686467,0.885713675,0.051420839,0.468567257
Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,Unknown,3,4.5,Nature,5000,All,https://images.unsplash.com/photo-1630641694725-f00f6b1b7f1d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxNdWxsYXlhbmFnaXJpfGVufDB8fHx8MTcyOTI1MDM0MHww&ixlib=rb-4.0.3&q=80&w=400,4.499997231,0.914283455,0.0202977,0.467290577
Southern,Karnataka,Badami,Badami Cave Temples,Cave,600,1.5,4.6,Religious,20000,All,https://images.unsplash.com/photo-1677009673772-725d5907e412?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxCYWRhbWklMjBDYXZlJTIwVGVtcGxlc3xlbnwwfHx8fDE3MjkyNTAzNDB8MA&ixlib=rb-4.0.3&q=80&w=400,4.599994308,0.914283455,0.0202977,0.467290577
Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1900,1.5,4.6,Nature,23000,Morning,https://images.unsplash.com/photo-1611299873337-a8cc078cabde?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxKb2clMjBGYWxsc3xlbnwwfHx8fDE3MjkyNTAzNDF8MA&ixlib=rb-4.0.3&q=80&w=400,4.59999505,0.914283319,0.01894452,0.466613919
Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,1980,1,4.6,Religious,130000,Morning,https://images.unsplash.com/photo-1676718912572-b3ebcff192e3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTV8MHwxfHNlYXJjaHwxfHxNYW5pa2FyYW4lMjBTYWhpYnxlbnwwfHx8fDE3MjkyNTEzMTB8MA&ixlib=rb-4.0.3&q=80&w=400,4.599999124,0.885713663,0.046008119,0.465860891
Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,16th century,1.5,4.6,Historical,7500,All,https://images.unsplash.com/photo-1656311882834-e5e7909f5fcf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMjB8MHwxfHNlYXJjaHwxfHxMZXBha3NoaXxlbnwwfHx8fDE3MjkyNTE5OTh8MA&ixlib=rb-4.0.3&q=80&w=400,4.599984823,0.857142504,0.074424899,0.465783701
Southern,Karnataka,Mangalore,Panambur Beach,Beach,Unknown,1.5,4.5,Recreational,10000,All,https://images.unsplash.com/photo-1641413775705-9c8be4cab9cb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxQYW5hbWJ1ciUyMEJlYWNofGVufDB8fHx8MTcyOTI1MDM0MXww&ixlib=rb-4.0.3&q=80&w=400,4.499998616,0.914282986,0.01623816,0.465260573
Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,Unknown,1,4.7,Religious,49000,All,https://images.unsplash.com/photo-1642516864138-5fd999e09dfb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxNdXJ1ZGVzaHdhciUyMFRlbXBsZXxlbnwwfHx8fDE3MjkyNTAzNDJ8MA&ixlib=rb-4.0.3&q=80&w=400,4.699995636,0.914282777,0.01488498,0.464583878
Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1656,1.5,4.5,Historical,25000,All,https://images.unsplash.com/photo-1651752402665-4c059aa0b109?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxHb2wlMjBHdW1iYXp8ZW58MHx8fHwxNzI5MjUwMzQyfDA&ixlib=rb-4.0.3&q=80&w=400,4.499999446,0.914282531,0.0135318,0.463907165
Northern,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,Unknown,2,4.5,Nature,110000,All,https://images.unsplash.com/photo-1572290795774-0e4ccb195043?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTV8MHwxfHNlYXJjaHwxfHxIYXR1JTIwUGVha3xlbnwwfHx8fDE3MjkyNTEzMTF8MA&ixlib=rb-4.0.3&q=80&w=400,4.499999874,0.885713653,0.041948579,0.463831116
Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,Unknown,1,4.6,Religious,13000,All,https://images.unsplash.com/photo-1707938233687-47e61e5ad7c4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMjB8MHwxfHNlYXJjaHwxfHxQYWhhcmklMjBNYW5kaXJ8ZW58MHx8fHwxNzI5MjUyMDI3fDA&ixlib=rb-4.0.3&q=80&w=400,4.599991243,0.799999502,0.127198917,0.46359921
Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3,4.4,Wildlife,15000,Morning,https://images.unsplash.com/photo-1543735577-ffe97474ee2c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxCYW5kaXB1ciUyME5hdGlvbmFsJTIwUGFya3xlbnwwfHx8fDE3MjkyNTAzNDN8MA&ixlib=rb-4.0.3&q=80&w=400,4.400005743,0.914282235,0.01217862,0.463230428
Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,1,4.7,Religious,11000,All,https://images.unsplash.com/photo-1621036419105-683f75661fcc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxIYWxlYmlkdSUyMEhveXNhbGVzd2FyYSUyMFRlbXBsZXxlbnwwfHx8fDE3MjkyNTAzNDN8MA&ixlib=rb-4.0.3&q=80&w=400,4.699980561,0.914282235,0.01217862,0.463230428
Western,Maharastra,Pune,Shaniwar Wada,Fort,1732,2,4.4,Historical,120000,All,https://images.unsplash.com/photo-1727161203027-11efac6d286b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxTaGFuaXdhciUyMFdhZGF8ZW58MHx8fHwxNzI5MjUwMzQ0fDA&ixlib=rb-4.0.3&q=80&w=400,4.400000718,0.914282235,0.01217862,0.463230428
Northern,Himachal Pradesh,Barot,Barot Valley,Valley,Unknown,2,4.7,Nature,120000,Morning,https://images.unsplash.com/photo-1686150569573-588926f1a581?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTV8MHwxfHNlYXJjaHwxfHxCYXJvdCUyMFZhbGxleXxlbnwwfHx8fDE3MjkyNTEzMTJ8MA&ixlib=rb-4.0.3&q=80&w=400,4.699998218,0.885713649,0.040595399,0.463154524
Western,Maharastra,Aurangabad,Ajanta Caves,Cave,200,3,4.6,Historical,21000,Afternoon,https://images.unsplash.com/photo-1626331915556-c4f817fbcc5d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxBamFudGElMjBDYXZlc3xlbnwwfHx8fDE3MjkyNTAzNDR8MA&ixlib=rb-4.0.3&q=80&w=400,4.599994579,0.914281874,0.01082544,0.462553657
Western,Maharastra,Nashik,Sula Vineyards,Vineyard,1999,2,4.1,Recreational,10000,Afternoon,https://images.unsplash.com/photo-1652184012169-02b20b29c847?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxTdWxhJTIwVmluZXlhcmRzfGVufDB8fHx8MTcyOTI1MDM0NXww&ixlib=rb-4.0.3&q=80&w=400,4.100038612,0.914281874,0.01082544,0.462553657
Northern,Himachal Pradesh,Shoja,Serolsar Lake,Lake,Unknown,2.5,4.4,Nature,90000,Morning,https://images.unsplash.com/photo-1716186942511-4279e81d02ea?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTV8MHwxfHNlYXJjaHwxfHxTZXJvbHNhciUyMExha2V8ZW58MHx8fHwxNzI5MjUxMzEyfDA&ixlib=rb-4.0.3&q=80&w=400,4.400000957,0.885713644,0.039242219,0.462477932
Northern,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,1975,5,3.8,Recreational,10000,All,https://images.unsplash.com/photo-1513151233558-d860c5398176?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTV8MHwxfHNlYXJjaHwxfHxLdWZyaSUyMEZ1biUyMFdvcmxkfGVufDB8fHx8MTcyOTI1MTMxM3ww&ixlib=rb-4.0.3&q=80&w=400,3.800068609,0.885713644,0.039242219,0.462477932
Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,Unknown,2,4.3,Nature,3200,All,https://images.unsplash.com/photo-1587163053792-6e8af01f01ac?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMjB8MHwxfHNlYXJjaHwxfHxQYXBpa29uZGFsdXxlbnwwfHx8fDE3MjkyNTE5OTd8MA&ixlib=rb-4.0.3&q=80&w=400,4.300058155,0.857142547,0.067658999,0.462400773
Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,14th century,1,4.7,Religious,49000,All,https://images.unsplash.com/photo-1601208443688-c71856b84610?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTh8MHwxfHNlYXJjaHwxfHxNYWxsaWthcmp1bmElMjBTd2FteSUyMFRlbXBsZXxlbnwwfHx8fDE3MjkyNTE2NTd8MA&ixlib=rb-4.0.3&q=80&w=400,4.699995636,0.857142547,0.067658999,0.462400773
Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,Unknown,1.5,4.5,Recreational,39000,Morning,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTh8MHwxfHNlYXJjaHwxfHxSaXNoaWtvbmRhJTIwQmVhY2h8ZW58MHx8fHwxNzI5MjUxNjU2fDA&ixlib=rb-4.0.3&q=80&w=400,4.499999645,0.857142557,0.066305819,0.461724188
